租房简介,户型,是否整租,装修情况,楼层情况,面积,朝向,价格,单位,中介
万达广场旁 高楼层边套精装两房  明厨明卫 业主诚意出租,2室2厅1卫,整租,精装修,高层(共31层),72.6 平方米,朝南,2200,元/月,金江勇
万达五店市旁简约四房 有露台 密码锁,4室2厅2卫,整租,精装修,低层(共32层),134.3 平方米,南北,3300,元/月,陈建坤
万达周边一套精装修的两房,2室1厅1卫,整租,精装修,低层(共30层),68.1 平方米,东南,1500,元/月,韩登云
無中芥 短租 百宏御景天下 万达广场永辉超市 精装独卫阳台,1室1厅1卫,整租,精装修,高层(共32层),70 平方米,朝南,1180,元/月,张冬海
万达对面新小区 大4房高层看南北通透 拎包入住,4室2厅2卫,整租,精装修,高层(共32层),125.4 平方米,朝南,3200,元/月,何蓉均
晋江万达旁两房出租，民水民电 ，燃气,2室1厅1卫,整租,精装修,低层(共31层),60.5 平方米,朝南,1800,元/月,温祖臣
百宏御景天下！四房豪华自住装修！品牌家具家电！密码锁中央空调,4室2厅3卫,整租,豪华装修,低层(共24层),159.8 平方米,东南,4500,元/月,杨俊伟
晋江万达广场旁，简约风小两房出租，有天然气,2室2厅1卫,整租,精装修,低层(共31层),60.5 平方米,朝南,1600,元/月,温祖臣
万达对面2房，干净整洁,2室2厅1卫,整租,精装修,中层(共31层),60.5 平方米,朝南,2200,元/月,王艳红
晋江万达旁两房出租，民水民电，密码锁,2室1厅1卫,整租,精装修,高层(共31层),72.6 平方米,朝南,2500,元/月,温祖臣
靠近晋江万达商圈 ，百宏御璟天下 两房 五店市,2室1厅1卫,整租,精装修,低层(共32层),61 平方米,朝南,1800,元/月,庄焱祥
百宏御璟天下 采光好 4室2厅3卫 拎包入住,4室2厅2卫,整租,精装修,中层(共6层),158.9 平方米,朝南,2200,元/月,王宇如
万达五店市旁百宏御景天下  精装  2房2厅1卫,2室2厅1卫,整租,精装修,低层(共30层),68.1 平方米,朝南,2000,元/月,钟晓润
晋江万达旁民水民电两房出租，全屋中央空调,2室2厅1卫,整租,精装修,中层(共31层),72.5 平方米,朝南,2300,元/月,温祖臣
晋江万达旁民水民电两房出租，天然气，高楼层采光好,2室1厅1卫,整租,简单装修,高层(共31层),68.3 平方米,朝南,2000,元/月,温祖臣
百宏御景天下，欧式精装两房，密码锁，押一付一,2室2厅1卫,整租,精装修,高层(共31层),58.4 平方米,朝南,2500,元/月,刘剑
晋江万达商圈五店市旁简约风格两房朝南采光好民用水电,2室2厅1卫,整租,精装修,低层(共31层),68.1 平方米,朝南,2000,元/月,杨山昆
万达旁百宏御璟天下精装边套两房,2室2厅1卫,整租,精装修,中层(共32层),68.1 平方米,朝南,2200,元/月,刘敏
万达旁边简约两房 精装修 拎包入住 民水民电 看房随时方便,2室1厅1卫,整租,精装修,低层(共31层),68.1 平方米,朝南,2300,元/月,王新
万达阳光旁简约精致小两房 押1付1,2室1厅1卫,整租,精装修,低层(共31层),60.5 平方米,朝南,1700,元/月,陈建坤
年底特惠 可短租|百宏御璟天下 近晋江万达 菊秀苑 保利上城,2室0厅1卫,整租,精装修,中层(共30层),50 平方米,南北,1100,元/月,叶佳庚
晋江万达旁百宏御璟天下地中海风格精装3房拎包入住看房随时,3室2厅2卫,整租,精装修,高层(共32层),133.3 平方米,南北,2800,元/月,吴迪迪
万达五店市附近零公摊正规2房,2室2厅1卫,整租,简单装修,中层(共20层),68.1 平方米,朝南,1800,元/月,赖旭鹏
晋江万达商圈五店市旁百宏上林苑精装修朝南两房拎包入住民用水电,2室1厅1卫,整租,精装修,中层(共32层),68.1 平方米,朝南,1800,元/月,杨山昆
万达五店市精装小两房 押1付1 密码锁,2室1厅1卫,整租,精装修,中层(共31层),58.5 平方米,朝南,1800,元/月,邹胜男
万达五店市旁百宏御景天下  精装  2房2厅1卫,2室2厅1卫,整租,精装修,高层(共31层),68.3 平方米,朝南,1800,元/月,钟晓润
百宏御璟天下 1室1厅1卫  电梯房 精装修38平米,1室1厅1卫,整租,精装修,中层(共31层),38.7 平方米,朝南,1100,元/月,王跃海
百宏温馨两房 拎包入住 看房随时 包物业 月付,2室2厅1卫,整租,精装修,低层(共31层),72.5 平方米,朝东,1800,元/月,吴炳志
百宏御景天下 现代两房 自住装修 拎包入住,2室2厅1卫,整租,精装修,高层(共32层),112.8 平方米,朝东,2000,元/月,吴炳志
百宏御璟天下 3室2厅2卫 138平 电梯房,3室2厅2卫,整租,精装修,高层(共29层),138.1 平方米,朝南,2000,元/月,王宇如
万达五店市旁百宏御景天下  精装  2房2厅1卫,2室2厅1卫,整租,精装修,中层(共31层),72.5 平方米,朝南,2000,元/月,钟晓润
万达广场旁精装大四房 随时看房拎包入住 带大露台,4室2厅2卫,整租,精装修,低层(共25层),134.3 平方米,朝南,3000,元/月,林淇
小区环境好，物业管理完善，万达对面，交通方便,4室2厅2卫,整租,精装修,高层(共32层),125.4 平方米,朝南,3500,元/月,王艳红
万达精装两房 随时看房,2室1厅1卫,整租,精装修,低层(共31层),68.1 平方米,东北,1800,元/月,邹胜男
整租万达旁精装修大三房可月付包物业,3室2厅2卫,整租,精装修,高层(共32层),133.3 平方米,朝南,3500,元/月,苏梁楷
0中芥 短租 百宏御景天下 万达广场 永辉超市 精装独卫阳台,1室1厅1卫,整租,精装修,高层(共32层),70 平方米,朝南,1180,元/月,杨阳
万达五店市旁百宏御景天下  精装  2房2厅1卫,2室2厅1卫,整租,精装修,中层(共31层),68.1 平方米,朝北,1800,元/月,钟晓润
万达对面，交通便捷，干净卫生,1室1厅1卫,整租,豪华装修,中层(共31层),38.7 平方米,朝东,1400,元/月,王艳红
真实租价 现代简约 精装修 民水民电 月付 看房密码锁,2室1厅1卫,整租,精装修,低层(共31层),68.1 平方米,朝南,1899,元/月,吴远风
万达对面 百宏御景天下4房2卫精装,4室2厅2卫,整租,精装修,低层(共30层),134.3 平方米,朝南,2500,元/月,洪萌黎
0中芥 短租 百宏御景天下 万达广场 永辉超市 精装独卫阳台,1室1厅1卫,整租,精装修,高层(共32层),70 平方米,朝南,1200,元/月,杨阳
万达现代风大四房 押1付1 带露台,4室2厅2卫,整租,精装修,低层(共32层),134.3 平方米,朝南,2500,元/月,邹胜男
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,中层(共32层),20 平方米,朝南,1000,元/月,匡亚雨
城东德辉片区御景天下3房2厅2卫家具齐全拎包入住,3室2厅2卫,整租,简单装修,中层(共30层),106 平方米,朝南,2700,元/月,廖锦治
顶层复式三层空中别墅380平可办工可住家 带露台 5房4卫,5室2厅4卫,整租,精装修,共1层,121 平方米,朝南,4500,元/月,何蓉均
百宏御景天下 3房2厅2卫 电梯房 精装修 家具齐全,3室2厅2卫,整租,精装修,高层(共22层),135 平方米,朝南,2000,元/月,朱高樊
年底特惠 可短租|百宏御璟天下 近万达广场 独卫民水民电精装,1室0厅1卫,整租,精装修,中层(共30层),70 平方米,朝南,1200,元/月,叶佳庚
万达旁 百宏御璟天下 通风好 137平 家电齐全,4室2厅2卫,整租,精装修,中层(共32层),137.9 平方米,朝南,2300,元/月,贺小林
出租七小附近160平精装大三房 高层有电梯 家具齐全拎包入住,3室2厅2卫,整租,精装修,高层(共22层),159.8 平方米,南北,3000,元/月,陈鹏
整租俩居室|湖山苑|保利上城|万达华府c区|0中j费|促销,2室1厅1卫,整租,精装修,低层(共29层),58.5 平方米,朝南,1400,元/月,李霄
阳台一居室|万达对面|湖山苑|保利上城|0中j费|植租|,1室1厅1卫,整租,精装修,低层(共33层),60.5 平方米,朝南,999,元/月,李霄
整租  |  万达旁一室一厅现代风温馨装修 押一付一 拎包入,1室1厅1卫,整租,精装修,高层(共30层),58.4 平方米,朝南,1500,元/月,李德胜
万达对面出门商场五店市一中学校都在旁边,4室2厅2卫,整租,精装修,中层(共32层),134.9 平方米,朝南,3300,元/月,庄丽红
百宏御璟天下 2室2厅1卫 72平 电梯房 看房方便,2室2厅1卫,整租,精装修,高层(共32层),72.6 平方米,朝南,1800,元/月,黄婷
隔音非常好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,低层(共32层),20 平方米,朝南,1250,元/月,王金标
独卫可做饭，百宏御璟天下，晋江万达对面，民用水电包物业,3室2厅2卫,合租,豪华装修,中层(共24层),50 平方米,南北,900,元/月,韩正军
万达旁精装边套两室出租，高楼层采光好，拎包入住,2室2厅1卫,整租,精装修,中层(共32层),68.3 平方米,朝南,2000,元/月,刘敏
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,中层(共32层),20 平方米,朝南,1500,元/月,匡亚雨
万达商场写字永晟金融厦竹苑小学五店市都在对面,4室2厅2卫,整租,精装修,高层(共32层),135 平方米,朝南,2400,元/月,庄丽红
划算！定期消毒！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,低层(共32层),20 平方米,朝南,1200,元/月,王金标
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,中层(共32层),20 平方米,朝南,1300,元/月,匡亚雨
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,低层(共32层),20 平方米,朝南,1000,元/月,匡亚雨
百宏御璟天下 1室0厅1卫,1室0厅1卫,整租,精装修,中层(共31层),35 平方米,朝南,1100,元/月,
特价 朝南主卧 近江滨公园 百宏御景天下,1室1厅1卫,整租,精装修,低层(共10层),60.2 平方米,朝南,950,元/月,丁健
轻奢公寓|o中j费|万达华府|保利上城|民用水电|植租,1室1厅1卫,整租,精装修,低层(共33层),40 平方米,朝南,900,元/月,李霄
特价一室 万达华府 晋江万达 可月付 湖山苑,1室1厅1卫,整租,精装修,低层(共15层),60.2 平方米,朝南,950,元/月,丁健
特价 阳台一室 可月付 湖山苑 万达 百宏,1室1厅1卫,整租,精装修,低层(共15层),60.2 平方米,朝南,950,元/月,丁健
